B;C;D;E;F;G;H;I;J;K;L;M;N
TIME DAYY;DATE;MONTH;YEAR;DAY;DISTRICT;TYPES_OF_CAUSES;ALERT LEVEL;AMOUNT_DAMAGE;TEMPERATURE;TYPE_OF_ESTABLIHMENT;LATITUDE;LONGITUDE
12AM;40544;JANUARY;2011;Saturday;Sampaloc;Firecracker;3rd Alarm;100,000.00;27;Residential;14.612296;120.994551
12AM;40544;JANUARY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Residential;14.589704;121.022958
2AM;40544;JANUARY;2011;Saturday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;27;Residential;14.597632;121.017609
8AM;40544;JANUARY;2011;Saturday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;8,000.00;27;Residential;14.588391;120.968970
8AM;40544;JANUARY;2011;Saturday;Ermita;Electrical connection;1st Alarm;5,000.00;27;Vehicle;14.582550;120.984621
10AM;40544;JANUARY;2011;Saturday;Ermita;Under Investigation;2nd Alarm;100,000.00;27;Unclear;14.586074;120.982515
11AM;40544;JANUARY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;1,000.00;27;Vehicle;14.610556;120.998333
9AM;40546;JANUARY;2011;Monday;Paco;Electrical connection;1st Alarm;200.00;24.33;Residential;14.567711;120.989591
3PM;40546;JANUARY;2011;Monday;Sampaloc;Cigarette Butt;1st Alarm;200.00;24.33;Rubbish;14.607747;120.995048
7AM;40547;JANUARY;2011;Tuesday;Sampaloc;Arson;1st Alarm;500.00;21;Commercial;14.598660;121.017284
1PM;40547;JANUARY;2011;Tuesday;Sampaloc;Cigarette Butt;1st Alarm;200.00;21;Rubbish;14.607773;120.988392
9PM;40547;JANUARY;2011;Tuesday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;21;Residential;14.589527;120.957515
4AM;40549;JANUARY;2011;Thursday;Tondo;Cigarette Butt;1st Alarm;200.00;21;Rubbish;14.614996;120.978817
8PM;40550;JANUARY;2011;Friday;Tondo;Electrical connection;1st Alarm;200.00;22.11;Residential;14.618564;120.965392
8PM;40551;JANUARY;2011;Saturday;Port Area;Under Investigation;3rd Alarm;5,000.00;24.5;Vehicle;14.588726;120.968597
8AM;40552;JANUARY;2011;Sunday;Pandacan;Cigarette Butt;1st Alarm;200.00;23;Rubbish;14.472234;121.027931
9AM;40552;JANUARY;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;23;Electrical;14.664390;120.943592
12PM;40552;JANUARY;2011;Sunday;Santa Ana;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;23;Residential;14.472234;121.027931
10AM;40552;JANUARY;2011;Sunday;Santa Cruz;Candle;1st Alarm;500.00;23;Residential;14.618105;120.981840
5PM;40553;JANUARY;2011;Monday;Ermita;Cigarette Butt;1st Alarm;1,000.00;24.66;Commercial;14.576489;120.988073
8PM;40553;JANUARY;2011;Monday;Tondo;Electrical connection;1st Alarm;5,000.00;24.66;Vehicle;14.620565;120.965967
8AM;40554;JANUARY;2011;Tuesday;Tondo;Cigarette Butt;1st Alarm;200.00;25.5;Rubbish;14.618213;120.967315
10PM;40554;JANUARY;2011;Tuesday;Tondo;Candle;1st Alarm;200.00;25.5;Residential;14.620565;120.965967
7AM;40556;JANUARY;2011;Thursday;Quiapo;Other;1st Alarm;5,000.00;24;Commercial;14.598320;120.983771
2AM;40557;JANUARY;2011;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;26.5;Residential;14.603199;121.002242
4PM;40557;JANUARY;2011;Friday;San Miguel;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;5,000.00;26.5;Vehicle;14.599512;120.984220
9PM;40557;JANUARY;2011;Saturday;San Miguel;Electrical connection;1st Alarm;200.00;26.5;Electrical;14.601917;121.000065
2AM;40558;JANUARY;2011;Saturday;Sampaloc;Under Investigation;5th Alarm;500,000.00;27.75;Residential;14.619553;120.997001
8AM;40558;JANUARY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;27.75;Electrical;14.589567;121.018860
8AM;40561;JANUARY;2011;Tuesday;Sampaloc;Cigarette Butt;1st Alarm;200.00;26;Rubbish;14.612579;120.966012
10AM;40561;JANUARY;2011;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;26;Residential;14.622616;120.988216
2PM;40561;JANUARY;2011;Tuesday;Santa Cruz;Under Investigation;4th Alarm;300,000.00;26;Commercial;14.580546;121.012283
4PM;40561;JANUARY;2011;Tuesday;Santa Ana;Electrical connection;1st Alarm;200.00;26;Electrical;14.472234;121.027931
6PM;40563;JANUARY;2011;Thursday;Santa Ana;Candle;1st Alarm;1,000.00;26.5;Residential;14.591050;121.008068
7AM;40564;JANUARY;2011;Friday;Pandacan;Under Investigation;3rd Alarm;5,000.00;26.33;Residential;14.613784;120.966811
1PM;40564;JANUARY;2011;Friday;Tondo;Under Investigation;1st Alarm;7,000.00;26.33;Vehicle;14.606015;120.989127
3PM;40564;JANUARY;2011;Friday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;3rd Alarm;50,000.00;26.33;Residential;14.601735;120.977330
11AM;40565;JANUARY;2011;Saturday;Santa Cruz;Electrical connection;1st Alarm;200.00;26.75;Electrical;14.605342;120.970070
2PM;40565;JANUARY;2011;Saturday;Binondo;Electrical connection;1st Alarm;200.00;26.75;Residential;14.599512;120.984220
5PM;40565;JANUARY;2011;Saturday;San Andres;Matress Fire;1st Alarm;200.00;26.75;Residential;14.572552;120.987490
7PM;40565;JANUARY;2011;Saturday;Malate;Electrical connection;1st Alarm;200.00;26.75;Electrical;14.575390;121.000470
12PM;40566;JANUARY;2011;Sunday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Electrical;14.582518;120.984921
11AM;40568;JANUARY;2011;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;26;Electrical;14.619445;120.968973
9PM;40569;JANUARY;2011;Wednesday;Tondo;Candle;1st Alarm;200.00;26.5;Residential;14.620565;120.965967
12PM;40570;JANUARY;2011;Thursday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;23;Residential;14.610556;120.998333
8AM;40571;JANUARY;2011;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;24.25;Electrical;14.616921;120.994113
1PM;40572;JANUARY;2011;Saturday;Sampaloc;Under Investigation;4th Alarm;500,000.00;23.5;Residential;14.615543;120.983680
7PM;40572;JANUARY;2011;Saturday;Santa Cruz;Open flame;1st Alarm;200.00;23.5;Rubbish;14.591050;121.008068
11PM;40572;JANUARY;2011;Saturday;Pandacan;Electrical connection;1st Alarm;200.00;23.5;Electrical;14.567839;120.997706
7PM;40573;JANUARY;2011;Sunday;Paco;Cigarette Butt;1st Alarm;200.00;23;Rubbish;14.613303;120.989467
2AM;40574;JANUARY;2011;Monday;Sampaloc;Candle;1st Alarm;500.00;25;Residential;14.594271;120.988270
4PM;40574;JANUARY;2011;Monday;San Miguel;Open flame;1st Alarm;200.00;25;Chemical;14.604204;120.996922
5PM;40574;JANUARY;2011;Monday;Santa Cruz;Electrical connection;1st Alarm;200.00;25;Electrical;14.599000;120.980400
10PM;40574;JANUARY;2011;Monday;Santa Cruz;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;25;Residential;14.599001;120.980401
2PM;40575;FEBRUARY;2011;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;24.75;Residential;14.610556;120.998333
4PM;40575;FEBRUARY;2011;Tuesday;Santa Cruz;Under Investigation;3rd Alarm;5,000.00;24.75;ReCom;14.599512;120.984220
10AM;40576;FEBRUARY;2011;Wednesday;Quiapo;Electrical connection;1st Alarm;200.00;23;Residential;14.576588;120.992589
1PM;40576;FEBRUARY;2011;Wednesday;Sampaloc;Candle;1st Alarm;200.00;23;Residential;14.573508;120.992437
6PM;40576;FEBRUARY;2011;Wednesday;Tondo;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;5,000.00;23;Residential;14.585454;120.993855
3AM;40577;FEBRUARY;2011;Thursday;Tondo;Under Investigation;Task Force Alpha;2,500,000.00;24.66;Residential;14.620565;120.965967
4AM;40577;FEBRUARY;2011;Thursday;Santa Cruz;Under Investigation;3rd Alarm;100,000.00;24.66;Residential;14.605554;120.988530
12PM;40577;FEBRUARY;2011;Thursday;Sampaloc;Candle;1st Alarm;5,000.00 ;24.66;Residential;14.611535;121.003231
5PM;40577;FEBRUARY;2011;Thursday;Santa Cruz;Under Investigation;5th Alarm;300,000.00;24.66;Residential;14.620565;120.965967
5AM;40578;FEBRUARY;2011;Friday;Sampaloc;Under Investigation;3rd Alarm;100,000.00;26.25;ReCom;14.630601;120.981429
7AM;40578;FEBRUARY;2011;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;26.25;Residential;14.605372;120.964401
12PM;40579;FEBRUARY;2011;Saturday;Paco;Electrical connection;1st Alarm;200.00;27;Electrical;14.597632;121.017609
8PM;40579;FEBRUARY;2011;Saturday;Paco;Electrical connection;1st Alarm;200.00;27;Electrical;14.620565;120.965967
2AM;40581;FEBRUARY;2011;Monday;Paco;Electrical connection;1st Alarm;200.00;26.66;Electrical;14.620408;120.971663
3PM;40581;FEBRUARY;2011;Monday;Tondo;Cigarette Butt;1st Alarm;200.00;26.66;Rubbish;14.612610;120.987333
9AM;40582;FEBRUARY;2011;Tuesday;Sampaloc;Cigarette Butt;1st Alarm;200.00;25.5;Rubbish;14.598646;120.993634
4PM;40582;FEBRUARY;2011;Tuesday;Sampaloc;Electrical connection;1st Alarm;500.00;25.5;Vehicle;14.615334;120.999135
9AM;40584;FEBRUARY;2011;Thursday;Tondo;Electrical connection;1st Alarm;200.00;28.33;Electrical;14.613734;120.969063
9PM;40584;FEBRUARY;2011;Thursday;Tondo;Candle;1st Alarm;200.00;28.33;Residential;14.624545;120.986588
9PM;40585;FEBRUARY;2011;Friday;Tondo;Electrical connection;1st Alarm;200.00;28.75;Electrical;14.599512;120.984220
12AM;40586;FEBRUARY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.597632;121.017609
12PM;40586;FEBRUARY;2011;Saturday;Tondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;25;Residential;14.596308;121.012331
6PM;40586;FEBRUARY;2011;Saturday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.600000;120.983000
8PM;40586;FEBRUARY;2011;Saturday;Sampaloc;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;200.00;25;Residential;14.601110;120.999757
2AM;40587;FEBRUARY;2011;Sunday;San Miguel;Electrical connection;1st Alarm;200.00;25.33;Residential;14.594271;120.988270
1PM;40587;FEBRUARY;2011;Sunday;Sampaloc;Under Investigation;3rd Alarm;100,000.00;25.33;Residential;14.609043;120.963143
6PM;40588;FEBRUARY;2011;Monday;Tondo;Matress Fire;1st Alarm;200.00;25.33;Residential;14.617188;120.974436
6PM;40588;FEBRUARY;2011;Monday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;25.33;Rubbish;14.472234;121.027931
8PM;40589;FEBRUARY;2011;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;26.33;Vehicle;14.618351;120.976058
8AM;40591;FEBRUARY;2011;Thursday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;26.25;Residential;14.510750;121.040582
9AM;40591;FEBRUARY;2011;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;26.25;Electrical;14.620565;120.965967
11AM;40591;FEBRUARY;2011;Thursday;Quiapo;Air-conditioned Fire/Air-cooler/Fan;1st alarm;2,000.00;26.25;Residential;14.605902;120.994262
8PM;40591;FEBRUARY;2011;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;26.25;Electrical;14.596402;120.960703
1PM;40592;FEBRUARY;2011;Friday;San Miguel;Electrical connection;1st Alarm;200.00;24.33;Vehicle;14.600314;120.990869
6PM;40593;FEBRUARY;2011;Saturday;Tondo;Electrical connection;1st Alarm;200.00;23.5;Electrical;14.610556;120.998333
10PM;40593;FEBRUARY;2011;Saturday;Tondo;Under Investigation;3rd Alarm;100,000.00;23.5;Residential;14.585700;121.010848
6AM;40594;FEBRUARY;2011;Sunday;Santa Ana;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;1,000.00;26;Building;14.675621;120.950296
4PM;40594;FEBRUARY;2011;Sunday;Tondo;Under Investigation;2nd Alarm;30,000.00;26;Residential;14.599794;121.020072
7PM;40594;FEBRUARY;2011;Sunday;Santa Ana;Electrical connection;1st Alarm;200.00;26;Electrical;14.592401;120.989688
10AM;40595;FEBRUARY;2011;Monday;Tondo;Cigarette Butt;1st Alarm;200.00;23.5;Rubbish;14.611001;120.982419
10AM;40595;FEBRUARY;2011;Monday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;23.5;Residential;14.601192;120.975007
5PM;40595;FEBRUARY;2011;Monday;Binondo;Electrical connection;1st Alarm;200.00;23.5;Vehicle;14.598548;120.975592
8PM;40595;FEBRUARY;2011;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;23.5;Electrical;14.620565;120.965967
8PM;40595;FEBRUARY;2011;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;23.5;Electrical;14.588814;120.996751
3PM;40597;FEBRUARY;2011;Wednesday;Santa Ana;Electrical connection;1st Alarm;1,000.00;23;Residential;14.607238;120.988911
9PM;40597;FEBRUARY;2011;Wednesday;Tondo;Candle;1st Alarm;200.00;23;Residential;14.617383;120.982609
11AM;40598;FEBRUARY;2011;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Residential;14.598739;120.987183
7PM;40598;FEBRUARY;2011;Thursday;San Miguel;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;26;Residential;14.604084;121.017140
4PM;40599;FEBRUARY;2011;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;25;Residential;14.620565;120.965967
5PM;40599;FEBRUARY;2011;Friday;Binondo;Acetylene;1st Alarm;1,000.00;25;Residential;14.635378;120.975255
8PM;40599;FEBRUARY;2011;Friday;Binondo;Under Investigation;2nd Alarm;100,000.00;25;Commercial;14.602503;120.980733
5PM;40600;FEBRUARY;2011;Saturday;Tondo;Electrical connection;1st Alarm;200.00;26.5;Residential;14.604084;121.017140
5PM;40602;FEBRUARY;2011;Monday;Paco;Cigarette Butt;1st Alarm;200.00;25;Grass fire;14.607698;120.982860
5PM;40603;MARCH;2011;Tuesday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;2nd Alarm;100,000.00;25;Residential;14.610556;120.998333
6PM;40603;MARCH;2011;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.617627;120.992708
8PM;40603;MARCH;2011;Tuesday;Malate;Cigarette Butt;1st Alarm;5,000.00;25;Commercial;14.559522;120.987197
8AM;40604;MARCH;2011;Wednesday;Tondo;Candle;1st Alarm;200.00;24;Residential;14.675621;120.950296
11AM;40604;MARCH;2011;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;24;Residential;14.597386;121.016199
7PM;40604;MARCH;2011;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;24;Residential;14.621572;120.988192
2AM;40605;MARCH;2011;Thursday;San Miguel;Under Investigation;5th Alarm;500,000.00;24.33;Residential;14.598622;120.994398
3PM;40605;MARCH;2011;Thursday;Ermita;Cigarette Butt;1st Alarm;200.00;24.33;Rubbish;14.591116;120.986474
10PM;40605;MARCH;2011;Thursday;Malate;Electrical connection;1st Alarm;1,000.00;24.33;Vehicle;14.571892;120.981919
5PM;40608;MARCH;2011;Sunday;Tondo;Under Investigation;2nd Alarm;100,000.00;25.33;Residential;14.620565;120.965967
12AM;40609;MARCH;2011;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;27.5;Electrical;14.472234;121.027931
3AM;40610;MARCH;2011;Tuesday;Paco;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;24.5;Residential;14.611298;120.968375
7PM;40610;MARCH;2011;Tuesday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;24.5;Residential;14.617291;120.973926
9PM;40610;MARCH;2011;Tuesday;Paco;Electrical connection;1st Alarm;200.00;24.5;Electrical;14.579039;120.999215
3PM;40611;MARCH;2011;Wednesday;Malate;Electrical connection;1st Alarm;200.00;25;Electrical;14.570199;120.991585
5PM;40613;MARCH;2011;Friday;Ermita;Electrical connection;1st Alarm;200.00;23;Electrical;14.588765;120.984482
6PM;40613;MARCH;2011;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;23;Residential;14.614025;120.975898
7PM;40613;MARCH;2011;Friday;Tondo;Under Investigation;3rd Alarm;50,000.00;23;Residential;14.613807;120.971693
1PM;40614;MARCH;2011;Saturday;Intramuros;Electrical connection;1st Alarm;200.00;24;Electrical;14.599512;120.984219
8PM;40614;MARCH;2011;Saturday;Tondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;5,000.00;24;Unclear;14.601039;120.964914
10PM;40614;MARCH;2011;Saturday;Binondo;Cigarette Butt;1st Alarm;200.00;24;Rubbish;14.601527;120.976538
8PM;40615;MARCH;2011;Sunday;Tondo;Electrical connection;1st Alarm;200.00;23;Electrical;14.620565;120.965967
9PM;40615;MARCH;2011;Sunday;Ermita;Electrical connection;1st Alarm;200.00;23;Electrical;14.599512;120.984220
5PM;40616;MARCH;2011;Monday;Tondo;Electrical connection;1st Alarm;200.00;26.33;Electrical;14.620565 ;120.965967
8PM;40616;MARCH;2011;Monday;Paco;Under Investigation;2nd Alarm;1,000.00;26.33;Commercial;14.577278;120.991172
10PM;40616;MARCH;2011;Monday;Santa Cruz;Electrical connection;1st Alarm;200.00;26.33;Electrical;14.612030;120.983389
2AM;40617;MARCH;2011;Tuesday;Paco;Electrical connection;1st Alarm;200.00;24.5;Electrical;14.579039;120.999215
7AM;40617;MARCH;2011;Tuesday;Quiapo;Electrical connection;1st Alarm;2,000.00;24.5;ReCom;14.598833;120.990207
8PM;40618;MARCH;2011;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;24.66;Residential;14.645116;120.992729
3AM;40619;MARCH;2011;Thursday;Santa Cruz;Under Investigation;2nd Alarm;8,000.00;25;ReCom;14.599000;120.980400
2AM;40620;MARCH;2011;Friday;Pandacan;Electrical connection;1st Alarm;200.00;27;Electrical;14.591395;121.003240
2PM;40620;MARCH;2011;Friday;Sampaloc;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.600209;120.988480
4PM;40620;MARCH;2011;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Rubbish;14.614760;121.003719
9PM;40620;MARCH;2011;Friday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Electrical;14.472234;121.027931
9AM;40621;MARCH;2011;Saturday;Paco;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;26;Residential;14.581334;120.987543
9AM;40621;MARCH;2011;Saturday;Santa Cruz;Under Investigation;4th Alarm;1,000,000.00;26;ReCom;14.601957;120.981749
8PM;40622;MARCH;2011;Sunday;Malate;Electrical connection;1st Alarm;200.00;26.33;Electrical;14.565997;120.998141
10AM;40623;MARCH;2011;Monday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;2nd Alarm;1,000.00;30;Commercial;14.609590;120.992790
11AM;40623;MARCH;2011;Monday;Santa Cruz;Electrical connection;1st Alarm;500.00;30;Residential;14.621803;120.984167
11AM;40625;MARCH;2011;Wednesday;Tondo;Cigarette Butt;1st Alarm;200.00;26.66;Grass fire;14.620565;120.965967
11PM;40625;MARCH;2011;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;26.66;Residential;14.576489;120.988073
12PM;40627;MARCH;2011;Friday;Paco;Electrical connection;1st Alarm;200.00;27;Residential;14.584841;120.998129
7PM;40627;MARCH;2011;Friday;Pandacan;Cigarette Butt;1st Alarm;200.00;27;Grass fire;14.590365;121.008691
11PM;40627;MARCH;2011;Friday;Tondo;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.605060;120.962622
1AM;40628;MARCH;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;27.33;Unclear;14.607598;120.996752
8PM;40628;MARCH;2011;Saturday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;27.33;Rubbish;14.472998;121.027911
8PM;40628;MARCH;2011;Saturday;Tondo;Cigarette Butt;1st Alarm;200.00;27.33;Rubbish;14.599512;120.984220
9AM;40629;MARCH;2011;Sunday;Sampaloc;Candle;1st Alarm;200.00;25.5;Residential;14.606561;120.991430
7PM;40629;MARCH;2011;Sunday;Pandacan;Cigarette Butt;1st Alarm;200.00;25.5;Rubbish;14.615798;120.968659
11AM;40630;MARCH;2011;Monday;Quiapo;Electrical connection;1st Alarm;200.00;26.25;Electrical;14.600000;120.983000
3PM;40630;MARCH;2011;Monday;Paco;Electrical connection;1st Alarm;200.00;26.25;Residential;14.570300;120.991563
5PM;40630;MARCH;2011;Monday;Tondo;Electrical connection;1st Alarm;200.00;26.25;Residential;14.620565;120.965967
6PM;40630;MARCH;2011;Monday;Santa Cruz;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;26.25;Residential;14.614025;120.975898
11AM;40631;MARCH;2011;Tuesday;Quiapo;Cigarette Butt;1st Alarm;1,000.00;25;Residential;14.600000;120.983000
9PM;40631;MARCH;2011;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.613838;120.995074
1PM;40632;MARCH;2011;Wednesday;Santa Ana;Candle;1st Alarm;200.00;26;Residential;14.582756;121.011469
1PM;40634;APRIL;2011;Friday;Sampaloc;Electrical connection;1st Alarm;1,000.00;22.5;Residential;;
3PM;40634;APRIL;2011;Friday;Sampaloc;Under Investigation;1st Alarm;1,000.00;22.5;Commercial;;
5PM;40634;APRIL;2011;Friday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;500.00;22.5;Chemical;;
5PM;40634;APRIL;2011;Friday;Tondo;Open flame;1st Alarm;200.00;22.5;Rubbish;;
8PM;40634;APRIL;2011;Friday;Santa Cruz;Electrical connection;1st Alarm;500.00;22.5;Residential;;
9AM;40639;APRIL;2011;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;24;Electrical;;
9AM;40640;APRIL;2011;Friday;Santa Ana;Open flame;1st Alarm;500.00;24.5;Unclear;;
10AM;40640;APRIL;2011;Wednesday;Sampaloc;Under Investigation;2nd Alarm;100,000.00 ;24.5;Residential;;
9PM;40640;APRIL;2011;Thursday;Tondo;Electrical connection;1st Alarm;500.00;24.5;Residential;;
10AM;40641;APRIL;2011;Thursday;Sampaloc;Electrical connection;1st Alarm;500.00;20;Residential;;
10AM;40643;APRIL;2011;Thursday;Sampaloc;Under Investigation;3rd Alarm;50,000.00;24.66;Residential;;
1PM;40644;APRIL;2011;Thursday;Tondo;Under Investigation;3rd Alarm;200,000.00;28.5;Residential;;
10AM;40647;APRIL;2011;Friday;Tondo;Under Investigation;3rd Alarm;100,000.00;27.25;Vehicle;;
7PM;40647;APRIL;2011;Friday;Malate;Under Investigation;1st Alarm;5,000.00;27.25;Vehicle;;
2AM;40648;APRIL;2011;Friday;Tondo;Alcohol Lamp Fire;2nd Alarm;8,000.00;28.25;Residential;;
3PM;40648;APRIL;2011;Friday;Malate;Electrical connection;2nd Alarm;8,000.00;28.25;ReCom;;
12PM;40650;APRIL;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;500.00;29.75;Residential;;
6PM;40651;APRIL;2011;Sunday;Tondo;Welding;1st Alarm;5,000.00;29.5;Vehicle;;
10PM;40651;APRIL;2011;Sunday;Ermita;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;3,000.00;29.5;Unclear;;
6PM;40652;APRIL;2011;Monday;Tondo;Under Investigation;3rd Alarm;200,000.00;29.5;ReCom;;
8PM;40652;APRIL;2011;Monday;San Miguel;Electrical connection;1st Alarm;500.00;29.5;Commercial;;
10PM;40653;APRIL;2011;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;28.75;Electrical;;
7PM;40657;APRIL;2011;Wednesday;Sampaloc;Candle;1st Alarm;1,000.00;28.75;Residential;;
12PM;40661;APRIL;2011;Thursday;Tondo;Cigarette Butt;1st Alarm;2,000.00;31;Residential;;
10AM;40662;APRIL;2011;Thursday;Paco;Electrical connection;1st Alarm;500.00;30.25;Electrical;;
1PM;40663;APRIL;2011;Thursday;Santa Cruz;Open flame;1st Alarm;200.00;29.25;Rubbish;;
2AM;40664;MAY;2011;Sunday;Santa Cruz;Under Investigation;2nd Alarm;20,000.00;30.25;;14.599;120.9804
8AM;40665;MAY;2011;Monday;Santa Cruz;Electrical connection;1st Alarm;200.00;31;Residential;14.601957;120.981749
4PM;40665;MAY;2011;Monday;Tondo;Under Investigation;2nd Alarm;20,000.00;31;Electrical;14.589527;120.957515
8PM;40665;MAY;2011;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;31;Residential;14.605554;120.98853
9AM;40666;MAY;2011;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;29;Vehicle;14.582353;120.984719
9AM;40667;MAY;2011;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;30.75;Residential;14.612018;120.995303
11AM;40667;MAY;2011;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;30.75;Electrical;14.563703;120.99517
2PM;40667;MAY;2011;Wednesday;San Miguel;Under Investigation;5th Alarm;200,000.00;30.75;Grass fire;14.59722;120.989767
2AM;40668;MAY;2011;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;30.5;Vehicle;14.603992;120.996029
1PM;40668;MAY;2011;Thursday;Malate;Cigarette Butt;1st Alarm;200.00;30.5;Rubbish;14.593429;120.980053
10AM;40669;MAY;2011;Friday;Tondo;Under Investigation;1st Alarm;3,000.00;31;Vehicle;14.629806;120.977889
1PM;40669;MAY;2011;Friday;Sampaloc;Cigarette Butt;1st Alarm;200.00;31;Vehicle;14.607173;120.989256
6AM;40669;MAY;2011;Friday;Paco;Electrical connection;1st Alarm;200.00;31;Vehicle;14.580259;120.995086
8PM;40671;MAY;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;5,000.00;26;Electrical;14.61587;120.995126
1AM;40671;MAY;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;7,000.00;26;Electrical;14.601265;121.000339
1AM;40671;MAY;2011;Sunday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.611065;120.981263
5AM;40672;MAY;2011;Monday;Malate;Electrical connection;1st Alarm;200.00;25;Electrical;14.569128;120.992832
10PM;40672;MAY;2011;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.609583;120.992803
10PM;40672;MAY;2011;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.609583;120.992803
2PM;40673;MAY;2011;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;28;Electrical;14.570978;120.981952
7PM;40674;MAY;2011;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;30.5;Electrical;14.579086;120.978456
5PM;40676;MAY;2011;Friday;Binondo;Electrical connection;1st Alarm;200.00;29.5;Commercial;14.598898;120.975402
9PM;40676;MAY;2011;Friday;San Miguel;Electrical connection;1st Alarm;2,000.00;29.5;Electrical;14.598646;120.993634
9PM;40676;MAY;2011;Friday;Santa Cruz;Other;1st Alarm;1,000.00;29.5;Electrical;14.619331;120.982334
1AM;40677;MAY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;29.5;ReCom;14.610556;120.998333
6AM;40680;MAY;2011;Tuesday;Binondo;Electrical connection;1st Alarm;200.00;31;Electrical;14.601192;120.975007
