date,cause,temp,district
6AM 20-Feb-11,Air-conditioned Fire/Air-cooler/Fan,26,Santa Ana
4PM 20-Feb-11,Under Investigation,26,Tondo
7PM 20-Feb-11,Electrical connection,26,Santa Ana
10AM 21-Feb-11,Cigarette Butt,23.5,Tondo
10AM 21-Feb-11,"LPG Leak, Gas, Keresone, Charcoal Stove",23.5,Sampaloc
5PM 21-Feb-11,Electrical connection,23.5,Binondo
8PM 21-Feb-11,Electrical connection,23.5,Sampaloc
8PM 21-Feb-11,Electrical connection,23.5,Sampaloc
3PM 23-Feb-11,Electrical connection,23,Santa Ana
9PM 23-Feb-11,Candle,23,Tondo
11AM 24-Feb-11,Electrical connection,26,Sampaloc
7PM 24-Feb-11,Air-conditioned Fire/Air-cooler/Fan,26,San Miguel
4PM 25-Feb-11,Electrical connection,25,Santa Cruz
5PM 25-Feb-11,Acetylene,25,Binondo
8PM 25-Feb-11,Under Investigation,25,Binondo
5PM 26-Feb-11,Electrical connection,26.5,Tondo
5PM 28-Feb-11,Cigarette Butt,25,Paco
5PM 1-Mar-11,Air-conditioned Fire/Air-cooler/Fan,25,Sampaloc
6PM 1-Mar-11,Electrical connection,25,Sampaloc
8PM 1-Mar-11,Cigarette Butt,25,Malate
8AM 2-Mar-11,Candle,24,Tondo
11AM 2-Mar-11,Electrical connection,24,Sampaloc
7PM 2-Mar-11,Electrical connection,24,Sampaloc
2AM 3-Mar-11,Under Investigation,24.33,San Miguel
3PM 3-Mar-11,Cigarette Butt,24.33,Ermita
10PM 3-Mar-11,Electrical connection,24.33,Malate
5PM 6-Mar-11,Under Investigation,25.33,Tondo
12AM 7-Mar-11,Electrical connection,27.5,Santa Ana
3AM 8-Mar-11,Air-conditioned Fire/Air-cooler/Fan,24.5,Paco
7PM 8-Mar-11,"LPG Leak, Gas, Keresone, Charcoal Stove",24.5,Tondo
9PM 8-Mar-11,Electrical connection,24.5,Paco
3PM 9-Mar-11,Electrical connection,25,Malate
5PM 11-Mar-11,Electrical connection,23,Ermita
6PM 11-Mar-11,Electrical connection,23,Santa Cruz
7PM 11-Mar-11,Under Investigation,23,Tondo
1PM 12-Mar-11,Electrical connection,24,Intramuros
8PM 12-Mar-11,Air-conditioned Fire/Air-cooler/Fan,24,Tondo
10PM 12-Mar-11,Cigarette Butt,24,Binondo
8PM 13-Mar-11,Electrical connection,23,Tondo
9PM 13-Mar-11,Electrical connection,23,Ermita
5PM 14-Mar-11,Electrical connection,26.33,Tondo
8PM 14-Mar-11,Under Investigation,26.33,Paco
10PM 14-Mar-11,Electrical connection,26.33,Santa Cruz
2AM 15-Mar-11,Electrical connection,24.5,Paco
7AM 15-Mar-11,Electrical connection,24.5,Quiapo
8PM 16-Mar-11,Electrical connection,24.66,Sampaloc
3AM 17-Mar-11,Under Investigation,25,Santa Cruz
2AM 18-Mar-11,Electrical connection,27,Pandacan
2PM 18-Mar-11,Cigarette Butt,27,Sampaloc
4PM 18-Mar-11,Electrical connection,27,Sampaloc
9PM 18-Mar-11,Electrical connection,27,Santa Ana
9AM 19-Mar-11,"LPG Leak, Gas, Keresone, Charcoal Stove",26,Paco
9AM 19-Mar-11,Under Investigation,26,Santa Cruz
8PM 20-Mar-11,Electrical connection,26.33,Malate
10AM 21-Mar-11,"LPG Leak, Gas, Keresone, Charcoal Stove",30,Sampaloc
11AM 21-Mar-11,Electrical connection,30,Santa Cruz
11AM 23-Mar-11,Cigarette Butt,26.66,Tondo
11PM 23-Mar-11,Electrical connection,26.66,Ermita
12PM 25-Mar-11,Electrical connection,27,Paco
7PM 25-Mar-11,Cigarette Butt,27,Pandacan
11PM 25-Mar-11,Cigarette Butt,27,Tondo
1AM 26-Mar-11,Electrical connection,27.33,Sampaloc
8PM 26-Mar-11,Cigarette Butt,27.33,Santa Cruz
8PM 26-Mar-11,Cigarette Butt,27.33,Tondo
9AM 27-Mar-11,Candle,25.5,Sampaloc
7PM 27-Mar-11,Cigarette Butt,25.5,Pandacan
11AM 28-Mar-11,Electrical connection,26.25,Quiapo
3PM 28-Mar-11,Electrical connection,26.25,Paco
5PM 28-Mar-11,Electrical connection,26.25,Tondo
6PM 28-Mar-11,"LPG Leak, Gas, Keresone, Charcoal Stove",26.25,Santa Cruz
11AM 29-Mar-11,Cigarette Butt,25,Quiapo
9PM 29-Mar-11,Electrical connection,25,Sampaloc
1PM 30-Mar-11,Candle,26,Santa Ana
1PM 1-Apr,Electrical connection,22.5,Sampaloc
3PM 1-Apr,Under Investigation,22.5,Sampaloc
5PM 1-Apr,"LPG Leak, Gas, Keresone, Charcoal Stove",22.5,Sampaloc
5PM 1-Apr,Open flame,22.5,Tondo
8PM 1-Apr,Electrical connection,22.5,Santa Cruz
9AM 6-Apr,Electrical connection,24,Sampaloc
9AM 7-Apr,Open flame,24.5,Santa Ana
10AM 7-Apr,Under Investigation,24.5,Sampaloc
9PM 7-Apr,Electrical connection,24.5,Tondo
10AM 8-Apr,Electrical connection,20,Sampaloc
10AM 10-Apr,Under Investigation,24.66,Sampaloc
1PM 11-Apr,Under Investigation,28.5,Tondo
10AM 14-Apr,Under Investigation,27.25,Tondo
7PM 14-Apr,Under Investigation,27.25,Malate
2AM 15-Apr,Alcohol Lamp Fire,28.25,Tondo
3PM 15-Apr,Electrical connection,28.25,Malate
12PM 17-Apr,Electrical connection,29.75,Sampaloc
6PM 18-Apr,Welding,29.5,Tondo
10PM 18-Apr,Air-conditioned Fire/Air-cooler/Fan,29.5,Ermita
6PM 19-Apr,Under Investigation,29.5,Tondo
8PM 19-Apr,Electrical connection,29.5,San Miguel
10PM 20-Apr,Electrical connection,28.75,Tondo
7PM 24-Apr,Candle,28.75,Sampaloc
12PM 28-Apr,Cigarette Butt,31,Tondo
10AM 29-Apr,Electrical connection,30.25,Paco
1PM 30-Apr,Open flame,29.25,Santa Cruz
2AM 1-May-11,Under Investigation,30.25,Santa Cruz
8AM 2-May-11,Electrical connection,31,Santa Cruz
4PM 2-May-11,Under Investigation,31,Tondo
8PM 2-May-11,Electrical connection,31,Sampaloc
9AM 3-May-11,Electrical connection,29,Ermita
9AM 4-May-11,Electrical connection,30.75,Sampaloc
11AM 4-May-11,Electrical connection,30.75,Ermita
2PM 4-May-11,Under Investigation,30.75,San Miguel
2AM 5-May-11,Electrical connection,30.5,Sampaloc
1PM 5-May-11,Cigarette Butt,30.5,Malate
10AM 6-May-11,Under Investigation,31,Tondo
1PM 6-May-11,Cigarette Butt,31,Sampaloc
6AM 6-May-11,Electrical connection,31,Paco
8PM 8-May-11,Electrical connection,26,Sampaloc
1AM 8-May-11,Electrical connection,26,Sampaloc
1AM 8-May-11,Electrical connection,26,Tondo
5AM 9-May-11,Electrical connection,25,Malate
10PM 9-May-11,Electrical connection,25,Sampaloc
10PM 9-May-11,Electrical connection,25,Sampaloc
2PM 10-May-11,Electrical connection,28,Ermita
7PM 11-May-11,Electrical connection,30.5,Ermita
5PM 13-May-11,Electrical connection,29.5,Binondo
9PM 13-May-11,Electrical connection,29.5,San Miguel
9PM 13-May-11,Other,29.5,Santa Cruz
1AM 14-May-11,Electrical connection,29.5,Sampaloc
6AM 17-May-11,Electrical connection,31,Binondo
4PM 17-May-11,Under Investigation,31,Tondo
7PM 17-May-11,Electrical connection,31,San Miguel
5AM 18-May-11,Electrical connection,30.5,Ermita
4PM 18-May-11,Electrical connection,30.5,Intramuros
8PM 18-May-11,Electrical connection,30.5,Quiapo
10AM 19-May-11,Electrical connection,29.75,Santa Cruz
5PM 19-May-11,Electrical connection,29.75,Tondo
3PM 20-May-11,Under Investigation,29.5,Malate
